,v_id,comment,class
0,wQpdlKYlmyY,              .,1
1,wQpdlKYlmyY,     . 48                               .,1
2,wQpdlKYlmyY,                                 ?  ,1
3,wQpdlKYlmyY,         .,1
4,wQpdlKYlmyY,                .,1
5,wQpdlKYlmyY,         .,1
6,wQpdlKYlmyY,"     (    )    .       .. ..  ..   .      (   (            29 &quot;      ) , (  )   &#39; -         . (             ).. ,  ()   .  &quot;,  ,   &quot;.          ..     .   .    .           (       )..",1
7,wQpdlKYlmyY,       ,1
8,wQpdlKYlmyY,"     <br> ,     ,    ,   ,         .           .<br>   -  ,            .             ,            ,     .<br>       ,   ,  ,         . ?     ,  .  ,   ,     .             .<br>   ,        .         ,          ,      .      ,       .<br>       ,        ,       ,     . <br>      ,    ,  ,     .     , &quot;  &quot;.    ,            .<br>        ,         . ( )",1
9,wQpdlKYlmyY,            !              .              !       !                      !,1
10,wQpdlKYlmyY,"         &#39;&#39;       .              ,        .       .           .   &#39;&#39;         .    !!!",1
11,wQpdlKYlmyY,"     <br> ,     ,    ,   ,         .           .<br>   -  ,            .             ,            ,     .<br>       ,   ,  ,         . ?     ,  .  ,   ,     .             .<br>   ,        .         ,          ,      .      ,       .<br>       ,        ,       ,     . <br>      ,    ,  ,     .     , &quot;  &quot;.    ,            .<br>        ,         . ( )",1
12,wQpdlKYlmyY,"    .           .                   ,         &#39;&#39; &#39;&#39;.       ,          .            .",1
13,wQpdlKYlmyY,                 .    !!!,1
14,wQpdlKYlmyY,  .<br>  !        !!,1
15,wQpdlKYlmyY,     &#39; &quot;    &quot;<br>      ,1
16,wQpdlKYlmyY,     ,1
17,wQpdlKYlmyY,      ,1
18,wQpdlKYlmyY,                   =,1
19,wQpdlKYlmyY,   ..      ...         ...        73 ...<br>       ..,1
20,KM4Xe6Dlp0Y,F bro porque as venido por la profe de cdc,1
21,KM4Xe6Dlp0Y,"Life aren&#39;t everything, believe me i&#39;m dead.",1
22,KM4Xe6Dlp0Y,This Ted talk isnt about how shes saying looks dont matter shes saying how looks do matter and we need to change the social norms when it comes to how we view Beauty wether its with racial tensions and profiling and how young people especially girls are hating themselves more and more I swear this comment section read the Title without understanding anything at all,1
23,KM4Xe6Dlp0Y,if she won the lottery then I bought 999 of 1000 tickets and still lost.,1
24,KM4Xe6Dlp0Y,Thank you! Everything that happens can be seen as a lesson. We should try to look at both sides of all stories before we judge...,1
25,KM4Xe6Dlp0Y,just imagine how easy it&#39;s for her to just say looks doesn&#39;t matter.,1
26,KM4Xe6Dlp0Y,"If she thinks that looks are not everything, why would she be that insecure",1
27,KM4Xe6Dlp0Y,"Simple, to the point, not too long and polite way of describing that appearance is not the most important thing. This may sound harsh but Ive always said, Good looking ones for a night, smart ones for life. Hopefully this quote will make young people to decide whether they want to take the route of insecurity or the route of security and resilience. Think about it!",1
28,KM4Xe6Dlp0Y,"The salty unit comprehensively suggest because alloy systematically drain astride a tacit half-brother. educated, daffy slice",1
29,KM4Xe6Dlp0Y,Gynocentrism,1
